name,category,address,lat,lon,phone,has_website,site_quality_flag,score,notes
Time Mart,Other,"30.1355, -95.2875",30.1354963,-95.2875124,,False,none,70,No website in OSM tags
Supercuts,Other,"21968, Market Place Drive, New Caney, TX, 77357",30.1330418,-95.2357002,,False,none,70,No website in OSM tags
Nails of America,Beauty/Salon,"21968, Market Place Drive, New Caney, TX, 77357",30.133051,-95.2356163,,False,none,70,No website in OSM tags
Great Clips,Other,"25653, Eastex Freeway, Kingwood, TX, 77339",30.0717237,-95.2420132,,False,none,70,No website in OSM tags
Yes! Automotive,Other,"24608, TX-494 Loop, Porter, TX, 77365",30.0900432,-95.2344985,+1-281-358-9355,False,none,70,HTTP 404
Boardroom Salon for Men,Other,"4535, Kingwood Drive, Kingwood, TX, 77345",30.051717,-95.1806584,,False,none,70,No website in OSM tags
Olive Garden,Other,"30.1316, -95.2301",30.1315973,-95.2300813,,False,none,70,No website in OSM tags
The Union Kitchen,Other,"23918, Highway 59 North, Kingwood, TX, 77339",30.0626764,-95.2468535,+1-832-644-9067,False,none,70,HTTP 403
Dana's Barber Shop,Other,"520, Northpark Drive, Kingwood, TX, 77339",30.0680898,-95.2424171,+1-281-359-3262,False,none,70,No website in OSM tags
Nail Expertise,Beauty/Salon,"520, Northpark Drive, Kingwood, TX, 77339",30.0680258,-95.2421743,,False,none,70,No website in OSM tags
Timewise,Other,"281, Northpark Drive",30.0686824,-95.244444,,False,none,70,No website in OSM tags
Exxon,Other,"30.0689, -95.2445",30.0688797,-95.2445298,,False,none,70,No website in OSM tags
The Curry House,Other,"279, North Bender Avenue, Humble, TX",30.0039973,-95.2657445,,False,none,70,No website in OSM tags
Supercuts,Other,"202, FM 1960 Bypass Road East, Humble, TX, 77338",30.0041329,-95.2656946,,False,none,70,No website in OSM tags
Country Scrambled Cafe 2,Other,"202, FM 1960 Bypass Road East, Humble, TX, 77338",30.0042786,-95.2656301,,False,none,70,No website in OSM tags
Nails of America,Beauty/Salon,"20045, Northpark Drive, Kingwood, TX, 77339",30.0697264,-95.2523524,,False,none,70,No website in OSM tags
Pancho's Mexican Buffet,Other,"260, FM 1960 Bypass Road East, Humble, TX",30.0041951,-95.2642418,,False,none,70,No website in OSM tags
Captain Crawfish,Other,"30.0029, -95.2644",30.0029275,-95.2644411,,False,none,70,No website in OSM tags
Sante Beauty Lounge,Other,"2519, Chestnut Ridge Road, Kingwood, TX",30.0485635,-95.2412205,,False,none,70,No website in OSM tags
Smart Stop,Other,"2531, Chestnut Ridge Road, Kingwood, TX",30.0485631,-95.2409961,,False,none,70,No website in OSM tags
Eric's Automotive,Other,"30.0023, -95.2511",30.0022638,-95.2510598,,False,none,70,No website in OSM tags
7Spice Cajun Seafood,Other,"9473, FM 1960 Bypass Road West",30.0061149,-95.2829107,,False,none,70,No website in OSM tags
Brooklyn Pizzeria,Other,"9467, FM 1960 Bypass Road West",30.0058281,-95.2828797,,False,none,70,No website in OSM tags
Exxon,Other,"30.0192, -95.1108",30.0192165,-95.1108437,,False,none,70,No website in OSM tags
Texaco,Other,"30.1138, -95.2666",30.113813,-95.2665509,,False,none,70,No website in OSM tags
Texaco,Other,"30.1137, -95.2666",30.1137388,-95.2666247,,False,none,70,No website in OSM tags
Zipp's,Other,"30.1042, -95.2502",30.1042441,-95.2501814,,False,none,70,No website in OSM tags
Great Harvest Bread Company,Other,"2665, Royal Forest Drive, Kingwood, TX, 77339",30.0535233,-95.2454824,+1-281-973-8203,False,none,70,"URL Error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'greatharvestkingwoodtx.com'. (_ssl.c:1010)"
Saltgrass Steak House,Other,"30.1352, -95.2284",30.1351868,-95.2284411,,False,none,70,No website in OSM tags
Center Court Pizza & Brew,Other,"20669, West Lake Houston Parkway",30.011488,-95.1799967,,False,none,70,No website in OSM tags
Azul Agave,Other,"30.0117, -95.1802",30.0117068,-95.1802065,,False,none,70,No website in OSM tags
Di Maria,Other,"20669, West Lake Houston Parkway",30.011237,-95.1798206,,False,none,70,No website in OSM tags
Nail Boss,Beauty/Salon,"9910, FM 1960 Bypass Road West, Humble, TX",30.0040148,-95.2740893,,False,none,70,No website in OSM tags
D Dominican Beauty Salon,Other,"30.0040, -95.2740",30.0040138,-95.273992,,False,none,70,No website in OSM tags
Buffetopia,Other,"9930, FM 1960 Bypass Road West",30.0040937,-95.2735755,,False,none,70,No website in OSM tags
Tullos Collision,Other,"30.1499, -95.2125",30.1498797,-95.2125062,+1-281-399-3903,False,none,70,No website in OSM tags
Executive Automotive Service & Transmission,Other,"30.1365, -95.2171",30.1365199,-95.2171412,+1-281-689-8149,False,none,70,No website in OSM tags
Pete's Burger Place,Other,"30.0896, -95.2345",30.0896435,-95.2344546,+1-281-354-8100,False,none,70,No website in OSM tags
Southern Style Seafood Co,Other,"30.0895, -95.2345",30.0895405,-95.2344943,+1-281-354-4118,False,none,70,No website in OSM tags
Mencius Gourmet Hunan,Other,"1379, Kingwood Drive, Kingwood, TX, 77339",30.0507429,-95.2356472,+1-281-359-8489,False,none,70,URL Error: [Errno -2] Name does not resolve
Pablo's Cantina Mexican Grill,Other,"1377, Kingwood Drive, Kingwood, TX, 77339",30.0506625,-95.2357647,+1-281-358-2637,False,none,70,HTTP 403
Christine's Salon,Other,"1202, Kingwood Drive, Kingwood, TX, 77339",30.0488707,-95.2382214,,False,none,70,No website in OSM tags
Chuy's,Other,"30.1362, -95.2282",30.1362453,-95.2281922,,False,none,70,No website in OSM tags
3G's Food Mart,Other,"23580, Farm to Market Road 1485, New Caney, TX, 77357",30.1497927,-95.2063018,,False,none,70,No website in OSM tags
Swift Food Mart,Other,"30.1479, -95.1872",30.1478682,-95.187171,,False,none,70,No website in OSM tags
Swift,Other,"30.1481, -95.1872",30.1481181,-95.1872333,,False,none,70,No website in OSM tags
Chili's,Other,"30.0069, -95.2663",30.0068823,-95.266276,,False,none,70,No website in OSM tags
HB Japanese Sushi And Steak House,Other,"30.0043, -95.2795",30.004336,-95.2794623,,False,none,70,No website in OSM tags
Italiano’s,Other,"30.0039, -95.1514",30.0038978,-95.151417,,False,none,70,No website in OSM tags
Donald’s Donuts,Other,"30.0196, -95.1099",30.0195877,-95.1099417,,False,none,70,No website in OSM tags
AWE Nail & Spa,Other,"30.0196, -95.1097",30.0195881,-95.1097371,,False,none,70,No website in OSM tags
A.M. Donuts,Other,"30.0192, -95.1112",30.0191775,-95.1111933,,False,none,70,No website in OSM tags
Tai Li Chinese Restaurant,Other,"30.0041, -95.1534",30.0040932,-95.15338,,False,none,70,No website in OSM tags
Valero,Other,"30.0029, -95.1530",30.0029211,-95.1529828,,False,none,70,No website in OSM tags
Take 5 Oil Change,Other,"30.0036, -95.1536",30.0035713,-95.1535639,,False,none,70,No website in OSM tags
Shell,Other,"30.0201, -95.1052",30.0201369,-95.1052472,,False,none,70,No website in OSM tags
Fuel Max,Other,"30.0204, -95.1054",30.0203811,-95.1053919,,False,none,70,No website in OSM tags
VIP Nail Salon,Other,"30.0001, -95.1636",30.0001077,-95.1636272,,False,none,70,No website in OSM tags
Beauty Supply,Other,"30.0035, -95.2790",30.0035402,-95.2790045,,False,none,70,No website in OSM tags
Wilo's collision,Other,"23340, FM 1314, Porter, TX, 77365-4745",30.1088029,-95.2612323,+1-832-646-0828,False,none,70,No website in OSM tags
Take 5 Oil Change,Other,"30.0046, -95.2908",30.0045632,-95.290814,,False,none,70,No website in OSM tags
McAlister's Deli,Other,"30.0056, -95.2820",30.0055795,-95.2819922,,False,none,70,No website in OSM tags
Swamp Donkeys Crawfish and Seafood,Other,"1965, Northpark Drive, 77339",30.0688959,-95.2241273,+1-346-318-3708,False,none,70,No website in OSM tags
Casey Ridge Grocery,Other,"26622, Farm to Market Road 1485, New Caney, TX, 77357",30.1477222,-95.1554528,,False,none,70,No website in OSM tags
Casey Ridge Gas,Other,"26622, Farm to Market Road 1485, New Caney, TX, 77357",30.1479327,-95.1554377,,False,none,70,No website in OSM tags
Meralab Skin Studio,Other,"30.0040, -95.1528",30.0040044,-95.1527853,,False,none,70,No website in OSM tags
Country Food Mart,Other,"30.0040, -95.1529",30.0039524,-95.1528838,,False,none,70,No website in OSM tags
Milan Laser Hair Removal,Beauty/Salon,"30.0004, -95.1636",30.0003638,-95.1635919,,False,none,70,No website in OSM tags
Sport Clips,Other,"30.0014, -95.1621",30.001355,-95.1621315,,False,none,70,No website in OSM tags
CAVA,Other,"30.0509, -95.1841",30.050868,-95.1841066,,False,none,70,No website in OSM tags
Food Mart,Other,"30.0194, -95.1109",30.0194465,-95.1108915,,False,none,70,No website in OSM tags
Transmission workshop,Other,"30.0049, -95.2537",30.0048892,-95.2537364,,False,none,70,No website in OSM tags
7Spice,Other,"30.0005, -95.1604",30.0005249,-95.1604069,,False,none,70,No website in OSM tags
Starbucks,Other,"19300, West Lake Houston Parkway",30.0009255,-95.1609087,,False,none,70,No website in OSM tags
True Lux Barber Co.,Other,"30.0023, -95.1526",30.0022992,-95.1525618,,False,none,70,No website in OSM tags
TB Pho & Grill 2,Other,"30.0036, -95.1512",30.0035704,-95.1512135,,False,none,70,No website in OSM tags
Landry’s Creole,Other,"30.0039, -95.1543",30.003915,-95.1543104,,False,none,70,No website in OSM tags
Peter & Lisa’s Salon,Other,"30.0036, -95.1513",30.0036291,-95.151256,,False,none,70,No website in OSM tags
Zincy Nails,Other,"30.0031, -95.1514",30.0031081,-95.1514286,,False,none,70,No website in OSM tags
A&J Automotive,Other,"30.0033, -95.1511",30.003284,-95.151105,,False,none,70,No website in OSM tags
Barber Shop,Other,"30.0040, -95.1541",30.0039998,-95.1541481,,False,none,70,No website in OSM tags
E & L Hair,Other,"30.0042, -95.1538",30.0041979,-95.1538108,,False,none,70,No website in OSM tags
MV Nail,Beauty/Salon,"30.0013, -95.1623",30.0013493,-95.1622938,,False,none,70,No website in OSM tags
La Villa,Other,"30.0022, -95.1539",30.0022392,-95.1539471,,False,none,70,No website in OSM tags
The Frozen Panda snowballs and pops,Other,"30.0022, -95.1537",30.0022294,-95.1537199,,False,none,70,No website in OSM tags
Alex Cuts & More,Other,"30.0022, -95.1535",30.0022345,-95.1534828,,False,none,70,No website in OSM tags
Blaze Bistro,Other,"30.0020, -95.2683",30.0020204,-95.2683268,,False,none,70,No website in OSM tags
Crash Champion,Other,"30.0042, -95.2607",30.0041943,-95.2606911,,False,none,70,No website in OSM tags
Advanced Tech Automotive,Other,"30.0033, -95.2524",30.0033286,-95.2523531,+1-281-446-4400,False,none,70,No website in OSM tags
Northside Auto Glass,Other,"30.0033, -95.2525",30.0033343,-95.2524896,+1-281-540-9000,False,none,70,No website in OSM tags
Beauty Bar,Other,"30.0026, -95.2514",30.0026266,-95.2514418,,False,none,70,No website in OSM tags
Jiffy Lube,Other,"30.0003, -95.2473",30.0002838,-95.2472806,,False,none,70,No website in OSM tags
AAMCO Transmission,Other,"30.0001, -95.2469",30.0000978,-95.246893,,False,none,70,No website in OSM tags
Golden Corral,Other,"30.0057, -95.2780",30.00573,-95.278012,,False,none,70,No website in OSM tags
Firestone,Other,"30.0003, -95.2656",30.0002661,-95.2655986,,False,none,70,No website in OSM tags
Buffalo Wild Wings,Other,"30.0056, -95.2817",30.0055791,-95.2816566,,False,none,70,No website in OSM tags
Cajun Crawfish Seafood,Other,"30.0058, -95.1475",30.0058108,-95.1474992,,False,none,70,No website in OSM tags
Curry and Grill,Other,"30.0087, -95.1453",30.0087428,-95.14532,,False,none,70,No website in OSM tags
Sunset grocery,Other,"30.0122, -95.1942",30.0122276,-95.1941501,,False,none,70,No website in OSM tags
7-Eleven,Other,"30.0017, -95.2963",30.0016888,-95.2963142,,False,none,70,No website in OSM tags
7-Eleven,Other,"30.0020, -95.2963",30.0019779,-95.29631,,False,none,70,No website in OSM tags
Arabian Knight,Other,"30.0057, -95.2660",30.0057438,-95.2659613,,False,none,70,No website in OSM tags
D'Lux Vivre Venue,Other,"30.0061, -95.2659",30.0061355,-95.2658713,,False,none,70,No website in OSM tags
Beauty Supply,Other,"30.0018, -95.2656",30.0017657,-95.2655745,,False,none,70,No website in OSM tags
SalonCentric,Other,"30.0077, -95.2636",30.0076838,-95.2636449,,False,none,70,No website in OSM tags
Dukes,Other,"30.0117, -95.3292",30.0116897,-95.3292146,,False,none,70,No website in OSM tags
Fuel Zone,Other,"30.0119, -95.3297",30.0118694,-95.3297043,,False,none,70,No website in OSM tags
Fuel Zone,Other,"30.0116, -95.3297",30.0116443,-95.3296905,,False,none,70,No website in OSM tags
Beauty Empire,Other,"30.0081, -95.2783",30.0080657,-95.2782976,,False,none,70,No website in OSM tags
Sam's Club,Other,"30.0061, -95.2796",30.0060636,-95.279588,,False,none,70,No website in OSM tags
Patron Mexican Grill,Other,"30.0044, -95.2769",30.0044488,-95.2768559,,False,none,70,No website in OSM tags
Caliber Collision,Other,"30.0064, -95.2926",30.0064028,-95.2925818,,False,none,70,No website in OSM tags
Island Tingz,Other,"30.0042, -95.2929",30.0042374,-95.2929057,,False,none,70,No website in OSM tags
Brooklyn Pizzeria,Other,"30.0042, -95.2895",30.0042476,-95.2894795,,False,none,70,No website in OSM tags
Maxis Seafood & Oyster Bar,Other,"30.0052, -95.3014",30.0051934,-95.3013526,,False,none,70,No website in OSM tags
Denny's,Other,"30.0051, -95.3099",30.0050716,-95.3099136,,False,none,70,No website in OSM tags
Grab'n'Go,Other,"30.0038, -95.3083",30.0037727,-95.3083209,,False,none,70,No website in OSM tags
Heavenly Nails,Beauty/Salon,"30.0062, -95.3149",30.0062118,-95.3149302,,False,none,70,No website in OSM tags
Nicolle's Beauty Salon,Other,"30.0063, -95.3150",30.0062523,-95.3150232,,False,none,70,No website in OSM tags
Chevron,Other,"30.0071, -95.3179",30.0071347,-95.3178744,,False,none,70,No website in OSM tags
IQRA World Food Market,Other,"30.0077, -95.3186",30.0077211,-95.3186395,,False,none,70,No website in OSM tags
Zara's Spa & Brow Bar,Other,"30.0077, -95.3187",30.0076798,-95.3187169,,False,none,70,No website in OSM tags
Mexi Taco,Other,"30.0076, -95.3188",30.007562,-95.3188045,,False,none,70,No website in OSM tags
Kroger,Other,"30.1314, -95.2361",30.1314081,-95.2360602,,False,none,70,Error: TimeoutError
The Overlook,Other,"20114, Pinehurst Drive, Atascocita, TX, 77346",30.0134636,-95.1602104,,False,none,70,URL Error: [Errno -3] Try again
Taste of Greek,Other,"4526, Kingwood Drive, Kingwood, TX, 77345",30.048389,-95.1825861,+1-832-335-7587,True,placeholder,55,Placeholder detected: placeholder
Zammitti's,Other,"30.0318, -95.1743",30.0318045,-95.1743112,,True,placeholder,55,Placeholder detected: placeholder
La Madeleine,Other,"4570, Kingwood Drive, Kingwood, TX, 77345",30.0501792,-95.1823405,,True,placeholder,55,Placeholder detected: default page
Ulta Beauty,Beauty/Salon,"20530, Eastex Freeway, Humble, TX, 77338",30.0151446,-95.2614243,+1 281-548-0180,True,placeholder,55,Placeholder detected: coming soon
Chimichurri's,Other,"30.0315, -95.1732",30.031541,-95.1731578,,True,placeholder,55,Placeholder detected: default page
Oriental Gardens Chinese Restaurant,Other,"1528, Kingwood Drive, Kingwood, TX, 77339",30.0487012,-95.2322616,+1-281-358-7119,True,placeholder,55,Placeholder detected: placeholder
Sharky's,Other,"30.0316, -95.1735",30.0316071,-95.1734784,,True,placeholder,55,Placeholder detected: default page
Chachi's Mexican Restaurant,Other,"4300, Town Center Place, Kingwood, TX, 77339",30.0480617,-95.1855796,,True,placeholder,55,Placeholder detected: placeholder
Russo's New York Pizzeria,Other,"42, North Main Street, Kingwood, TX, 77339",30.0487103,-95.1854019,+1-281-361-3100,True,placeholder,55,Placeholder detected: placeholder
Va Va Bloom,Other,"12, North Main Street, Kingwood, TX, 77339",30.0482866,-95.185249,+1-281-360-8100,True,placeholder,55,Placeholder detected: placeholder
Medi Spa,Other,"23834, Highway 59 North, Kingwood, TX, 77339",30.061124,-95.2475123,+1-281-852-2000,True,placeholder,55,Placeholder detected: this domain is for sale
The Studio Salon,Other,"1568, Kingwood Drive, Kingwood, TX, 77339",30.0487278,-95.2314166,,True,placeholder,55,Placeholder detected: placeholder
The Toasted Yolk Cafe,Other,"11985, North Grand Parkway East, New Caney, TX, 77357",30.1303768,-95.2344913,+1-281-892-2388,True,placeholder,55,Placeholder detected: default page
Nails of America,Beauty/Salon,"21372, Eastex Freeway, New Caney, TX, 77357",30.1341279,-95.2288903,+1-281-577-4056,True,placeholder,55,Placeholder detected: placeholder
Buffalo Wild Wings,Other,"21372, Eastex Freeway, New Caney, TX, 77357",30.1338427,-95.2290009,+1-281-354-6255,True,placeholder,55,Placeholder detected: placeholder
Gold Elements,Other,"30.0089, -95.2708",30.0089443,-95.2708008,,True,placeholder,55,Placeholder detected: default page
Tiff's Treats Cookie Delivery,Other,"4529, Kingwood Drive, Kingwood, TX, 77345",30.0515332,-95.1814263,+1-832-995-1600,True,placeholder,55,Placeholder detected: placeholder
Gringo's Mexican Kitchen,Other,"21576, Eastex Freeway, New Caney, TX, 77357",30.132312,-95.2295232,+1-281-354-3663,True,placeholder,55,Placeholder detected: placeholder
Nukumi Japanese Steak House,Other,"20045, Northpark Drive, Kingwood, TX, 77339",30.0698185,-95.2524078,+1-281-570-4579,True,placeholder,55,Placeholder detected: placeholder
Planet Beach Spay & Spa,Beauty/Salon,"2665, Royal Forest Drive, Kingwood, TX, 77339",30.0534215,-95.2459281,+1-281-312-1130,True,placeholder,55,Placeholder detected: placeholder
Conservatory Day Spa & Salon,Beauty/Salon,"2665, Royal Forest Drive, Kingwood, TX, 77339",30.0528928,-95.2456475,+1-281-359-3300,True,placeholder,55,Placeholder detected: default page
Chuck E. Cheese,Other,"124, FM 1960 Bypass Road East, Humble, TX, 77338",30.0031464,-95.2666944,,True,placeholder,55,Placeholder detected: placeholder
RC's NYC Pizza & Pasta,Other,"1202, Kingwood Drive, Kingwood, TX, 77339",30.0488721,-95.2383872,+1-281-358-4663,True,placeholder,55,Placeholder detected: default page
Vn'Wich Cafe,Other,"520, Northpark Drive, Kingwood, TX, 77339",30.0681053,-95.2425272,+1-281-570-6891,True,placeholder,55,Placeholder detected: this domain is for sale
Tina Nails,Beauty/Salon,"1245, Kingwood Drive, Kingwood, TX, 77339",30.0506555,-95.2383589,+1-281-973-9480,True,placeholder,55,Placeholder detected: placeholder
Sharp Cuts & Styles by Nuvia,Other,"23340, FM 1314, Porter, TX, 77365",30.108773,-95.2612605,+1-832-447-5671,True,placeholder,55,Placeholder detected: weebly.com
Green Bamboo Head Spa,Other,"1259, Kingwood Drive, Kingwood, TX, 77339",30.0506888,-95.2379867,+1-713-853-9620,True,placeholder,55,Placeholder detected: placeholder
Italianos,Other,"30.0060, -95.2643",30.0060206,-95.264277,,True,placeholder,55,Placeholder detected: placeholder
Yama Kitchen,Other,224,30.0029093,-95.2658195,+1-832-210-3288,True,placeholder,55,Placeholder detected: default page
Sun Auto Service,Other,"7625, FM 1960, Humble, TX, 77346",30.0002252,-95.1592461,+1-281-852-3677,True,placeholder,55,Placeholder detected: placeholder
Freddy's Taco Shack,Other,"103, Eastex Freeway Frontage Road, 77365",30.1021351,-95.2379075,+1-832-594-2876,True,placeholder,55,Placeholder detected: placeholder
